original_mol,orig_score,rationale,rationale_score,hit,round
[O-][N+](=O)c1ccc(s1)/C=N/NC(=O)c1ccncc1,0.803,O=[N+]([O-])c1ccc([CH3:1])s1,0.579,1,PK_37K
[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\\SC(=S)NC1=O,0.758,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
Clc1ccc(c(c1)Cl)C(=O)Nc1nnc(o1)-c1cc(ccc1Cl)Cl,0.842,,,1,PK_37K
[O-][N+](=O)c1ccc(o1)/C=C/C=C/1\\SC(=N)NC1=O,0.763,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
[O-][N+](=O)c1ccc(s1)C(=O)Nc1nnc(o1)-c1cccs1,0.851,O=[N+]([O-])c1ccc([CH3:1])s1,0.579,1,PK_37K
NS(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(o1)[N+](=O)[O-],0.766,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
Nc1nnc(s1)Sc1ncc(s1)[N+](=O)[O-],0.856,O=[N+]([O-])c1cnc([SH:1])s1,0.952,1,PK_37K
[O-][N+](=O)c1ccc(s1)C(=O)Nc1nnc(o1)-c1ccco1,0.929,O=[N+]([O-])c1ccc([CH3:1])s1,0.579,1,PK_37K
Nc1nnc(s1)-c1ccc(o1)[N+](=O)[O-],0.981,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
ClC1=NSSC1=Nc1nncs1,0.593,,,1,PK_37K
Clc1cc(c(s1)Cl)CSC(=S)NCc1cccnc1,0.879,S=[CH:1]SCc1c[cH:1]s[cH:1]1,0.643,1,PK_37K
NNC(=S)NCCc1ccc(cc1)Cl,0.905,,,1,PK_37K
Cc1ccc2c(c([nH]c2c1)C(=O)O)Sc1ccc(cc1)Cl,0.838,c1c[cH:1]cc2[nH][cH:1]c([SH:1])c12,0.675,1,PK_37K
ONC(=O)c1cccc(c1)C(=O)N/N=C/c1ccc(s1)[N+](=O)[O-],0.823,O=[N+]([O-])c1ccc([CH3:1])s1,0.579,1,PK_37K
CC(=CCN([C@@H](COC(=O)NCCCCCC(=O)NO)c1ccccc1)C(=O)C#Cc1ccccc1)C,0.773,,,0,PK_37K
Oc1ccccc1C(=O)N/N=C/c1ccc(o1)S(=O)(=O)O,0.831,O=[SH:1]c1ccc(C=[NH:1])o1,0.305,0,PK_37K
CN(Cc1ccccc1)C(=O)c1ccc(o1)[N+](=O)[O-],0.881,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,PK_37K
S=C(SCc1ncon1)N1CCSCC1,0.648,S=C(N1CCSCC1)[SH:1],0.668,0,PK_37K
Cl[Zn]Cl,0.518,,,0,PK_37K
S=C1SSC=C1c1ccccc1,0.629,,,0,PK_37K
CCOC(=O)N=C1Oc2cc(c(cc2O1)Cl)Cl,0.477,N(=c1o[cH:1][cH:1]o1)[CH2:1]O[CH3:1],0.200,0,PK_37K
COc1cc(c(c(c1)O)C(=O)Oc1cc(c(c(c1)O)C(=O)Oc1cc(c(c(c1)O)C(=O)N[C@@H](C)C(=O)O)C)C)C,0.811,,,0,PK_37K
CCN(CC)C(=S)S[C@@H](C)C(=O)c1cc(ccc1O)Br,0.787,C[C@H](SC(=S)[NH:1][CH3:1])[CH2:1][CH3:1],0.780,0,PK_37K
Cc1ccc(cc1)-c1nc(ncc1C(=O)O)N1CCSCC1,0.800,,,0,PK_37K
Cc1cc(c(cc1Cl)Cl)S(=O)(=O)Nc1cccnc1,0.829,Clc1c[cH:1][cH:1]cc1[S:1][NH2:1],0.568,0,PK_37K
COc1c(ccc2c1cc(c1c(cc3c(c21)OCO3)C(=O)O)[N+](=O)[O-])O,0.835,O=[N+]([O-])c1c[cH:1][cH:1][cH:1][cH:1]1,0.405,0,PK_37K
Cc1ccc(cc1)Nc1c(c(c(c(c1C(=O)O)F)F)F)F,0.801,,,0,PK_37K
Clc1cccc(c1SC(=O)N1CCOCC1)Cl,0.697,Clc1cccc(Cl)c1[SH:1],0.393,0,PK_37K
Oc1c(cc(cc1C(=O)CSC(=S)N1CCOCC1)Br)Br,0.781,,,0,PK_37K
Clc1ccc(cc1)N1NC(=S)SC1=S,0.402,,,0,PK_37K
CCS(=O)(=O)C(=C1Nc2ccccc2N1)S(=O)(=O)CC,0.438,CCS(=O)(=O)C(=[CH2:1])[SH:1]=O,0.653,0,PK_37K
[O-][N+](=O)c1cn(cn1)CC(=O)Nc1ccc(cc1Cl)Cl,0.755,,,0,PK_37K
Clc1cc2c(c(c1)CSC(=S)N1CCSCC1)OCOC2,0.754,S=C(N1CCSCC1)[SH:1],0.668,0,PK_37K
CNC(=S)Sc1ccc(cc1F)F,0.740,S=[CH:1]Sc1cc[cH:1]c[cH:1]1,0.762,0,PK_37K
CN1SC(=O)c2ccccc21,0.402,c1ccc2c(c1)[cH:1]s[n:1]2,0.125,0,PK_37K
CSC1=NN(CSc2c(cccc2Cl)Cl)C(=S)S1,0.811,S=c1sc([SH:1])nn1C[SH:1],0.830,0,PK_37K
Nc1ccccc1Sc1c(cncc1Cl)Cl,0.860,Clc1cncc(Cl)c1[SH:1],0.320,0,PK_37K
CS(=O)(=O)NCc1c(cccc1Sc1ccc(cc1)Cl)Cl,0.770,c1cc(S[CH3:1])c([CH3:1])[cH:1]c1,0.152,0,PK_37K
OC(=O)c1cc(ccc1O)NCc1c(c(c(c(c1F)F)C(F)(F)F)F)F,0.853,Oc1ccc(N[CH3:1])c[cH:1]1,0.159,0,PK_37K
Cc1nc(cc(n1)-c1ccccc1)Nc1ccc(c(c1)C(=O)O)O,0.794,Oc1ccc(N[CH3:1])c[cH:1]1,0.159,0,PK_37K
COCc1nc(ncc1C(=O)O)N1CCN(CC1)c1ccccc1F,0.945,,,0,PK_37K
CCN(CC)C(=S)S,0.791,,,0,PK_37K
Cc1nc(c(c(c1C(=O)O)-c1ccc(cc1)F)C(=O)O)C,0.872,,,0,PK_37K
C[C@@H]1CC=CC[C@H](NC(=O)[C@H](C)N(C)C(=O)c2ccccc2O1)c1ccccc1,0.934,,,0,PK_37K
[O-][N+](=O)c1cc(c(cc1/C=C/c1ccc(c(c1)Cl)Cl)/C=C/c1ccc(c(c1)Cl)Cl)[N+](=O)[O-],0.961,O=[N+]([O-])c1c[cH:1][cH:1]c[cH:1]1,0.405,0,PK_37K
Clc1ccc(cc1)S(=O)(=O)Nc1ccccc1Sc1c(cncc1Cl)Cl,0.954,c1ccc([SH:1])c(N[SH:1])c1,0.895,0,PK_37K
CN(Cc1cccs1)C(=S)SCc1cccs1,0.905,CN(C[CH3:1])C(=S)SC[CH3:1],0.920,0,PK_37K
Clc1cccc(c1CSC(=S)Nc1ccccc1)Cl,0.942,Clc1ccc[cH:1]c1C[SH:1],0.308,0,PK_37K
OC(=O)c1cc(ccc1O)/N=C\\c1ccc(c(c1)F)N1CCCC1,0.901,,,0,PK_37K
Oc1c(cc2c(c1I)Oc1c(c(c(cc1C21OC(=O)c2c(c(c(c(c21)Cl)Cl)Cl)Cl)I)O)I)I,0.986,Oc1c(I)c[cH:1][cH:1]c1I,0.483,0,PK_37K
ONC(=O)c1cccc(c1)C(=O)N/N=C/c1cc(ccc1[N+](=O)[O-])O,0.908,O=[N+]([O-])c1cc[cH:1]c[cH:1]1,0.405,0,PK_37K
COC(=O)[C@@H](NC(=O)c1ccc(o1)[N+](=O)[O-])C(C)C,0.940,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,PK_37K
CC[C@@H]1CC=CC[C@H](C)Oc2ccccc2C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N1,0.916,,,0,PK_37K
Oc1ccc(cc1Cl)NS(=O)(=O)c1ccc(cc1)Cl,0.934,O=[SH:1]Nc1cc[cH:1][cH:1]c1,0.581,0,PK_37K
CC[C@@H](C)NCCOc1ccc(cc1)C(C)(C)c1ccccc1,0.915,,,0,PK_37K
Nc1ncc(s1)[N+](=O)[O-],0.923,,,0,PK_37K
COc1cc(c2c(c1C=O)Oc1c(c(c(c3c1[C@@H](O)OC3=O)O)C)OC2=O)C,0.905,,,0,PK_37K
Cc1cc2c(c(c1C(=O)O)O)C(=O)c1c(cc(cc1C2=O)O)O,0.953,c1c2c([cH:1]c[cH:1]1)[CH2:1][CH:1]=[CH:1][CH2:1]2,0.292,0,PK_37K
CC(C)(C)c1ccc(cc1)OCCCNCc1ccccc1,0.917,,,1,PK_37K
COc1ccccc1C1CCN(CCCOc2ccc(cc2)Cl)CC1,0.910,,,1,PK_37K
CCOC(=S)SSC(=S)OCC,0.971,CCOC(=S)SS[CH:1]=S,0.980,1,PK_37K
[O-][N+](=O)c1ccc(o1)C(=O)ONC(=O)c1ccc(cc1)OC(F)F,0.908,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
